date	fly_id	species	strain	sex	tastant_comparison	food_choice	NumberOfSips/1hour
2021-10-05	fly_144	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	355
2021-10-05	fly_144	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	995
2021-10-05	fly_145	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	1078
2021-10-05	fly_145	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	651
2021-10-05	fly_146	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	483
2021-10-05	fly_146	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	736
2021-10-05	fly_147	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	153
2021-10-05	fly_147	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	133
2021-10-05	fly_148	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	3210
2021-10-05	fly_148	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	858
2021-10-05	fly_149	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	2102
2021-10-05	fly_149	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	1301
2021-10-05	fly_150	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	1340
2021-10-05	fly_150	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	1350
2021-10-05	fly_151	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	2759
2021-10-05	fly_151	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	1379
2021-10-08	fly_152	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	985
2021-10-08	fly_152	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	210
2021-10-08	fly_153	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	179
2021-10-08	fly_153	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	1233
